computer_time_utc,serial_line
2026-04-27T07:48:49.241542+00:00,"x,volume,muted,maskActive,refP2P,refCorr,refRatio,rms"
2026-04-27T07:48:49.244181+00:00,audioTask core=1
2026-04-27T07:48:49.244238+00:00,analysisTask core=0
2026-04-27T07:48:49.244321+00:00,"overnight,695140301,60013,298864,0,123,117.7,278.3,3897,0,0.000,0.000,1.00,0,0,273,0.21,5.01,0.0034"
2026-04-27T07:49:49.272096+00:00,"overnight,695140301,120045,298600,1,71,122.5,286.0,486,907,0.760,1.000,1.00,0,1,4095,0.58,10.02,0.0821"
2026-04-27T07:50:49.302554+00:00,"overnight,695140301,180077,298600,1,65,107.7,262.3,478,921,0.760,1.000,1.00,0,1,4078,0.55,12.11,0.0748"
2026-04-27T07:51:49.333078+00:00,"overnight,695140301,240109,298600,0,114,150.5,330.8,3495,1069,0.023,0.041,0.60,0,0,298,0.43,5.98,0.0035"
2026-04-27T07:52:49.363531+00:00,"overnight,695140301,300141,298600,0,171,125.6,291.0,2008,0,0.000,0.000,0.60,0,0,344,0.54,5.48,0.0064"
2026-04-27T07:54:49.424682+00:00,"overnight,695140301,360173,298600,0,127,123.5,287.5,3823,0,0.000,0.000,0.60,0,0,324,0.38,5.27,0.0038"
2026-04-27T07:54:49.425981+00:00,"overnight,695140301,420205,298600,0,114,119.4,281.1,3896,0,0.000,0.000,0.60,0,0,312,0.47,6.17,0.0034"
2026-04-27T07:55:49.455082+00:00,"overnight,695140301,480237,298600,0,126,117.2,277.5,3873,0,0.000,0.000,0.60,0,0,314,0.41,4.80,0.0039"
2026-04-27T07:56:49.485746+00:00,"overnight,695140301,540269,298600,0,131,123.1,287.0,3908,0,0.000,0.000,0.60,0,0,314,0.48,5.19,0.0038"
2026-04-27T07:57:49.516269+00:00,"overnight,695140301,600301,298600,0,133,122.4,285.9,3865,0,0.000,0.000,0.60,0,0,344,0.48,5.60,0.0038"
2026-04-27T07:59:49.577442+00:00,"overnight,695140301,660333,298600,0,119,121.6,284.6,3854,0,0.000,0.000,0.60,0,0,277,0.51,5.29,0.0037"
2026-04-27T07:59:49.579097+00:00,"overnight,695140301,720365,298600,0,115,123.1,286.9,3868,0,0.000,0.000,0.60,0,0,328,0.46,6.04,0.0036"
2026-04-27T08:00:49.608038+00:00,"overnight,695140301,780397,298600,0,131,123.8,288.1,3793,0,0.000,0.000,0.60,0,0,292,0.45,5.09,0.0039"
2026-04-27T08:01:49.638548+00:00,"overnight,695140301,840429,298600,0,133,126.2,291.9,3849,0,0.000,0.000,0.60,0,0,316,0.42,5.33,0.0037"
2026-04-27T08:02:49.668962+00:00,"overnight,695140301,900461,298600,0,115,124.8,289.7,3857,0,0.000,0.000,0.60,0,0,290,0.43,5.84,0.0036"
2026-04-27T08:04:49.730134+00:00,"overnight,695140301,960493,298600,0,130,122.4,285.8,3872,0,0.000,0.000,0.60,0,0,312,0.36,4.83,0.0039"
2026-04-27T08:04:49.731975+00:00,"overnight,695140301,1020525,298600,0,133,124.3,288.8,3939,0,0.000,0.000,0.60,0,0,276,0.34,4.86,0.0039"
2026-04-27T08:05:49.760546+00:00,"overnight,695140301,1080557,298600,0,139,124.3,288.9,3844,0,0.000,0.000,0.60,0,0,268,0.40,4.91,0.0038"
2026-04-27T08:06:49.791447+00:00,"overnight,695140301,1140589,298600,0,121,119.5,281.1,3890,0,0.000,0.000,0.60,0,0,335,0.37,5.46,0.0038"
2026-04-27T08:08:49.852408+00:00,"overnight,695140301,1200621,298600,0,124,120.7,283.2,3911,0,0.000,0.000,0.60,0,0,286,0.42,5.34,0.0037"
2026-04-27T08:08:49.853897+00:00,"overnight,695140301,1260653,298600,0,120,122.7,286.3,3821,0,0.000,0.000,0.60,0,0,316,0.52,5.41,0.0037"
2026-04-27T08:09:49.883263+00:00,"overnight,695140301,1320685,298600,0,139,124.7,289.5,3874,0,0.000,0.000,0.60,0,0,277,0.31,6.39,0.0037"
2026-04-27T08:10:49.913603+00:00,"overnight,695140301,1380717,298600,0,111,121.4,284.3,3899,0,0.000,0.000,0.60,0,0,296,0.39,5.55,0.0036"
2026-04-27T08:11:49.944119+00:00,"overnight,695140301,1440749,298600,0,111,120.7,283.2,3917,0,0.000,0.000,0.60,0,0,280,0.36,5.20,0.0036"
2026-04-27T08:12:49.974572+00:00,"overnight,695140301,1500781,298600,0,122,121.1,283.7,3849,0,0.000,0.000,0.60,0,0,269,0.49,5.38,0.0037"
2026-04-27T08:13:50.005237+00:00,"overnight,695140301,1560813,298600,0,118,119.2,280.7,3850,0,0.000,0.000,0.60,0,0,306,0.41,5.04,0.0035"
2026-04-27T08:14:50.035769+00:00,"overnight,695140301,1620845,298600,0,116,123.6,287.7,3886,0,0.000,0.000,0.60,0,0,270,0.35,5.53,0.0036"
2026-04-27T08:15:50.066280+00:00,"overnight,695140301,1680877,298600,0,124,123.8,288.0,3906,0,0.000,0.000,0.60,0,0,271,0.43,4.64,0.0037"
2026-04-27T08:17:50.127489+00:00,"overnight,695140301,1740909,298600,0,128,125.4,290.7,3875,0,0.000,0.000,0.60,0,0,304,0.43,4.76,0.0037"
2026-04-27T08:17:50.127946+00:00,"overnight,695140301,1800941,298600,0,119,121.8,284.8,3838,0,0.000,0.000,0.60,0,0,278,0.47,5.93,0.0036"
2026-04-27T08:19:50.188639+00:00,"overnight,695140301,1860973,298600,0,115,121.3,284.1,3864,0,0.000,0.000,0.60,0,0,300,0.34,5.28,0.0037"
2026-04-27T08:19:50.189934+00:00,"overnight,695140301,1921005,298600,0,118,120.1,282.1,3892,0,0.000,0.000,0.60,0,0,296,0.41,6.37,0.0036"
2026-04-27T08:20:50.273803+00:00,"overnight,695140301,1981037,298600,0,143,127.2,293.5,3882,0,0.000,0.000,0.60,0,0,274,0.31,4.54,0.0038"
2026-04-27T08:21:50.305949+00:00,"overnight,695140301,2041069,298600,0,119,121.1,283.8,3892,0,0.000,0.000,0.60,0,0,264,0.37,5.28,0.0036"
2026-04-27T08:22:50.337823+00:00,"overnight,695140301,2101101,298600,0,121,123.3,287.2,3874,0,0.000,0.000,0.60,0,0,273,0.44,5.12,0.0037"
2026-04-27T08:23:50.369650+00:00,"overnight,695140301,2161133,298600,0,120,121.9,285.0,3856,0,0.000,0.000,0.60,0,0,323,0.52,5.79,0.0037"
2026-04-27T08:24:50.401712+00:00,"overnight,695140301,2221165,298600,0,111,123.1,286.9,3845,0,0.000,0.000,0.60,0,0,333,0.38,5.10,0.0037"
2026-04-27T08:25:50.433786+00:00,"overnight,695140301,2281197,298600,0,115,122.3,285.7,3864,0,0.000,0.000,0.60,0,0,300,0.41,5.11,0.0036"
2026-04-27T08:26:50.465624+00:00,"overnight,695140301,2341229,298600,0,109,121.7,284.8,3794,0,0.000,0.000,0.60,0,0,337,0.35,5.61,0.0036"
2026-04-27T08:27:50.497641+00:00,"overnight,695140301,2401261,298600,0,130,123.1,287.0,3820,0,0.000,0.000,0.60,0,0,303,0.28,5.36,0.0038"
2026-04-27T08:28:50.529668+00:00,"overnight,695140301,2461293,298600,0,110,119.2,280.7,3898,0,0.000,0.000,0.60,0,0,319,0.51,5.45,0.0036"
